Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI limit,Upper CI limit,Count,Denominator,Value note
E07000085,East Hampshire,LA,Persons,60-74 yrs,,,2016,64.7401389840462,64.082337876158,65.392399033498,13229,20434,
E07000086,Eastleigh,LA,Persons,60-74 yrs,,,2016,65.0264079903781,64.3475471082789,65.6992330272341,12435,19123,
E07000087,Fareham,LA,Persons,60-74 yrs,,,2016,67.7427699311915,67.0802959221534,68.3981929208333,13094,19329,
E07000088,Gosport,LA,Persons,60-74 yrs,,,2016,60.8405865286599,59.9903004380142,61.6843437827004,7759,12753,
E07000089,Hart,LA,Persons,60-74 yrs,,,2016,67.1511627906977,66.3714734618145,67.9215118550507,9471,14104,
E07000090,Havant,LA,Persons,60-74 yrs,,,2016,62.7100090428823,62.0538745026144,63.3614968694032,13176,21011,
E07000091,New Forest,LA,Persons,60-74 yrs,,,2016,66.4526577592689,65.953193678282,66.9484666151662,22978,34578,
E07000092,Rushmoor,LA,Persons,60-74 yrs,,,2016,60.0312320210405,59.1578246199997,60.8983071459014,7304,12167,
E07000093,Test Valley,LA,Persons,60-74 yrs,,,2016,66.8270204577679,66.1671219813443,67.4803736906709,13197,19748,
E07000094,Winchester,LA,Persons,60-74 yrs,,,2016,66.4053206445334,65.7212545799166,67.0825729018379,12281,18494,
E07000095,Broxbourne,LA,Persons,60-74 yrs,,,2016,59.9166034874905,59.0774955416127,60.7499368871064,7903,13190,
E07000096,Dacorum,LA,Persons,60-74 yrs,,,2016,60.0517068032748,59.3856818287666,60.714035113114,12543,20887,
E07000098,Hertsmere,LA,Persons,60-74 yrs,,,2016,55.0792235407092,54.2705666136836,55.8852044970569,8030,14579,
E07000099,North Hertfordshire,LA,Persons,60-74 yrs,,,2016,61.5863548370219,60.8945373380938,62.2735158653626,11771,19113,
E07000102,Three Rivers,LA,Persons,60-74 yrs,,,2016,57.0502554716693,56.2010728461928,57.895308556333,7481,13113,
E07000103,Watford,LA,Persons,60-74 yrs,,,2016,52.5859578156602,51.6247279361629,53.5452749191707,5460,10383,
E07000105,Ashford,LA,Persons,60-74 yrs,,,2016,59.7660143749016,59.0679701880625,60.4601229672965,11392,19061,
E07000106,Canterbury,LA,Persons,60-74 yrs,,,2016,58.5641279261457,57.9429921603129,59.1825523882296,14210,24264,
E07000107,Dartford,LA,Persons,60-74 yrs,,,2016,56.1021373796704,55.2218452150105,56.9786061203298,6877,12258,
E07000108,Dover,LA,Persons,60-74 yrs,,,2016,58.7217374057914,58.0406589046902,59.399494029199,11843,20168,
E07000109,Gravesham,LA,Persons,60-74 yrs,,,2016,56.7395654659806,55.9169141726335,57.5585171227916,7939,13992,
E07000110,Maidstone,LA,Persons,60-74 yrs,,,2016,62.3000698984417,61.6890958262976,62.9071590357477,15152,24321,
E07000111,Sevenoaks,LA,Persons,60-74 yrs,,,2016,61.9145353120724,61.2217552246011,62.6024990701148,11765,19002,
E07000112,Shepway,LA,Persons,60-74 yrs,,,2016,59.0097277265943,58.3164603879584,59.6994330027164,11465,19429,
E07000113,Swale,LA,Persons,60-74 yrs,,,2016,58.0000911951119,57.3455289746702,58.651851296291,12720,21931,
E07000114,Thanet,LA,Persons,60-74 yrs,,,2016,56.2764808507103,55.6489220405115,56.9020369196943,13548,24074,
E07000115,Tonbridge and Malling,LA,Persons,60-74 yrs,,,2016,61.8715616318972,61.166570720405,62.5715855435654,11359,18359,
E07000116,Tunbridge Wells,LA,Persons,60-74 yrs,,,2016,61.535165575075,60.7865078788201,62.2783998219123,10053,16337,
E07000117,Burnley,LA,Persons,60-74 yrs,,,2016,57.1161486328581,56.2580093707077,57.9700301690609,7332,12837,
E07000118,Chorley,LA,Persons,60-74 yrs,,,2016,59.1199083919516,58.4065570140052,59.8294398870718,10842,18339,
E07000119,Fylde,LA,Persons,60-74 yrs,,,2016,62.082925236696,61.3115754730362,62.8482150042583,9508,15315,
E07000120,Hyndburn,LA,Persons,60-74 yrs,,,2016,56.1656467432308,55.2733956094358,57.0539281472428,6700,11929,
E07000121,Lancaster,LA,Persons,60-74 yrs,,,2016,60.8260553129549,60.1789523541368,61.4693754679217,13372,21984,
E07000122,Pendle,LA,Persons,60-74 yrs,,,2016,58.8490770901194,58.0261261194367,59.6671082033243,8130,13815,
E07000123,Preston,LA,Persons,60-74 yrs,,,2016,55.6205062255217,54.8748181591949,56.3636706353388,9515,17107,
E07000124,Ribble Valley,LA,Persons,60-74 yrs,,,2016,65.7048249763481,64.7943134402641,66.6039254394238,6945,10570,
E07000125,Rossendale,LA,Persons,60-74 yrs,,,2016,57.558246193359,56.6279625559338,58.4832052179851,6275,10902,
E07000126,South Ribble,LA,Persons,60-74 yrs,,,2016,61.0133009547988,60.3008856629097,61.7210473163556,11055,18119,
E07000127,West Lancashire,LA,Persons,60-74 yrs,,,2016,57.8640270903881,57.1639920114514,58.5609151735754,11107,19195,
E07000128,Wyre,LA,Persons,60-74 yrs,,,2016,62.0009372071228,61.3475992257939,62.6499553375776,13231,21340,
E07000129,Blaby,LA,Persons,60-74 yrs,,,2016,64.346701164295,63.5882062549579,65.0980681860522,9948,15460,
E07000130,Charnwood,LA,Persons,60-74 yrs,,,2016,62.6034849798943,62.0061800963572,63.1969730663399,15880,25366,
E07000131,Harborough,LA,Persons,60-74 yrs,,,2016,63.9096254211535,63.1411049678108,64.6710877128462,9674,15137,
E07000132,Hinckley and Bosworth,LA,Persons,60-74 yrs,,,2016,64.2910131411615,63.6045665959532,64.9716429031968,12133,18872,
E07000133,Melton,LA,Persons,60-74 yrs,,,2016,61.9943661971831,60.9795153374428,62.9988382560313,5502,8875,
E07000134,North West Leicestershire,LA,Persons,60-74 yrs,,,2016,62.769211163502,62.0098522301307,63.5223205244099,9851,15694,
E07000135,Oadby and Wigston,LA,Persons,60-74 yrs,,,2016,60.4751368347502,59.4366009386764,61.5043046597253,5193,8587,
E07000136,Boston,LA,Persons,60-74 yrs,,,2016,54.5054739403013,53.5599193088915,55.4477907362842,5825,10687,
E07000137,East Lindsey,LA,Persons,60-74 yrs,,,2016,55.198236457354,54.6426760135263,55.7525023620154,17027,30847,
E07000138,Lincoln,LA,Persons,60-74 yrs,,,2016,51.7191856044606,50.818570838283,52.6186848788503,6122,11837,
E07000139,North Kesteven,LA,Persons,60-74 yrs,,,2016,59.5761259155369,58.8810532337401,60.2673776057721,11469,19251,
E07000140,South Holland,LA,Persons,60-74 yrs,,,2016,56.0468223169413,55.2695373941222,56.8211524788175,8810,15719,
E07000141,South Kesteven,LA,Persons,60-74 yrs,,,2016,59.0183323477232,58.3904479475928,59.6432905054083,13972,23674,
E07000142,West Lindsey,LA,Persons,60-74 yrs,,,2016,58.9987398327414,58.2672612877305,59.726259083014,10300,17458,
E07000143,Breckland,LA,Persons,60-74 yrs,,,2016,63.5489330086267,62.9407805490413,64.1527894830063,15396,24227,
E07000144,Broadland,LA,Persons,60-74 yrs,,,2016,68.0814650008557,67.4809002433643,68.6760869388478,15912,23372,
E07000145,Great Yarmouth,LA,Persons,60-74 yrs,,,2016,57.428123951225,56.70181407133,58.1512423441202,10267,17878,
E07000146,King's Lynn and West Norfolk,LA,Persons,60-74 yrs,,,2016,59.6186742694227,59.0432978609524,60.1914174146477,16729,28060,
E07000147,North Norfolk,LA,Persons,60-74 yrs,,,2016,64.1264746703678,63.505067037019,64.7431757431078,14785,23056,
E07000148,Norwich,LA,Persons,60-74 yrs,,,2016,57.139420185252,56.3856252263893,57.8899167616602,9500,16626,
E07000149,South Norfolk,LA,Persons,60-74 yrs,,,2016,67.5348325075171,66.9347871053621,68.1291735620248,15947,23613,
E07000150,Corby,LA,Persons,60-74 yrs,,,2016,53.7208484706434,52.6614701262219,54.776878155904,4584,8533,
E07000151,Daventry,LA,Persons,60-74 yrs,,,2016,63.4249164122692,62.6164631856261,64.2258748187281,8726,13758,
E07000152,East Northamptonshire,LA,Persons,60-74 yrs,,,2016,62.2722037802317,61.4871757617724,63.0508459305335,9192,14761,
E07000153,Kettering,LA,Persons,60-74 yrs,,,2016,60.0352112676056,59.2426964703673,60.8225066951467,8866,14768,
E07000154,Northampton,LA,Persons,60-74 yrs,,,2016,56.1162345571603,55.5416836476875,56.6891503789262,16125,28735,
E07000155,South Northamptonshire,LA,Persons,60-74 yrs,,,2016,62.4865156418554,61.7042015279312,63.2623634645639,9268,14832,
E07000156,Wellingborough,LA,Persons,60-74 yrs,,,2016,59.6732026143791,58.8012504091085,60.5390849583839,7304,12240,
E07000163,Craven,LA,Persons,60-74 yrs,,,2016,67.3633867682225,66.4927471274911,68.2222155773453,7606,11291,
E07000164,Hambleton,LA,Persons,60-74 yrs,,,2016,65.0049617652209,64.2874479466942,65.7157476612436,11136,17131,
E07000165,Harrogate,LA,Persons,60-74 yrs,,,2016,55.331500152765,54.7285946729702,55.9328414915579,14488,26184,
E07000166,Richmondshire,LA,Persons,60-74 yrs,,,2016,65.5303905708343,64.5223636779411,66.5246358863837,5671,8654,
E07000167,Ryedale,LA,Persons,60-74 yrs,,,2016,65.0651312063432,64.1519524505836,65.9673884775,6893,10594,
E07000168,Scarborough,LA,Persons,60-74 yrs,,,2016,61.8124821886577,61.1541181082291,62.4665365050503,13014,21054,
E07000169,Selby,LA,Persons,60-74 yrs,,,2016,56.5270318653777,55.7031709508865,57.3473028867192,7894,13965,
E07000170,Ashfield,LA,Persons,60-74 yrs,,,2016,55.8826701175456,55.1669196831808,56.5959840852632,10364,18546,
E07000171,Bassetlaw,LA,Persons,60-74 yrs,,,2016,62.2612415439713,61.5889054330765,62.9288928104409,12517,20104,
E07000172,Broxtowe,LA,Persons,60-74 yrs,,,2016,60.8949853834045,60.1755871123942,61.609678954477,10832,17788,
